species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,139.834,51.565,-11,92,19,13535,208,-266,474,147,-170,151,-195,591,90,20,46,241,66,216,75
pabulinus,89.66666,52.53333,-5,120,24,13326,239,-254,493,160,-159,160,-184,419,75,10,65,205,33,205,39
pabulinus,91.38333,53.08333,-1,128,24,14033,253,-270,523,171,-164,171,-191,426,77,10,64,208,33,208,39
pabulinus,73.77366,62.1203,-34,87,18,13715,217,-265,482,144,-189,144,-209,556,78,21,39,219,76,219,87
pabulinus,44.33333,58.33333,29,79,20,10618,228,-162,390,163,-96,163,-111,624,84,27,32,220,91,220,109
pabulinus,89.95,63.67,-59,105,19,15152,227,-319,546,46,-154,138,-253,593,73,25,32,210,86,194,105
pabulinus,92.169,58.451,-15,109,21,14008,248,-263,511,162,-102,162,-201,468,65,16,36,173,60,173,80
pabulinus,30.1,59.55,45,71,21,8982,219,-107,326,145,-24,161,-70,655,82,30,31,233,103,225,119
pabulinus,29.949,58.8,45,75,22,9049,221,-110,331,145,-65,161,-71,645,83,28,32,232,99,228,113
pabulinus,34.98333,59.93333,24,85,23,9654,215,-152,367,131,-92,148,-102,719,88,33,29,239,113,238,135
pabulinus,29.41666,59.93333,47,71,21,8893,221,-103,324,147,-21,163,-66,672,83,31,30,233,105,220,127
pabulinus,31.8,60.2167,38,78,22,9220,219,-127,346,141,-33,157,-81,639,80,28,33,227,96,211,118
pabulinus,28.6,59.36666,48,72,22,8881,221,-103,324,146,-20,162,-66,684,86,29,33,241,101,235,121
pabulinus,33.765,59.434,34,85,23,9450,221,-139,360,139,-35,155,-89,705,83,32,29,236,111,229,134
pabulinus,31.15,59.6,40,76,22,9136,219,-119,338,142,-71,158,-77,632,78,27,32,225,96,216,112
pabulinus,30.318,60.016,48,69,21,8933,221,-102,323,149,-20,165,-65,640,79,29,31,227,99,216,118
pabulinus,35.55,55.7,43,81,22,9694,227,-127,354,165,-74,165,-82,639,88,27,35,243,93,243,109
pabulinus,36.06391,69.11654,-2,62,21,7631,155,-137,292,99,-68,99,-95,464,56,21,30,159,70,159,90
pabulinus,33.73389,67.66056,-26,71,21,8838,155,-182,337,82,-96,92,-136,600,75,28,31,215,95,211,104
pabulinus,32.70522,67.10687,-13,79,21,9400,178,-182,360,98,-86,112,-133,571,69,29,28,198,94,192,106
pabulinus,43.87267,56.20395,45,75,19,10767,239,-140,379,180,-82,180,-95,596,73,25,29,200,92,200,111
pabulinus,43.6,55.65,43,77,20,10856,240,-142,382,179,-31,179,-97,581,73,26,28,197,91,197,112
pabulinus,43.9519,42.8066,14,111,36,6896,175,-132,307,81,-76,99,-76,999,134,35,40,383,127,367,127
pabulinus,44.66666,43.01666,86,105,30,8474,263,-77,340,175,-26,193,-26,859,148,29,52,382,96,348,96
pabulinus,32.78333,58.65,34,89,24,9328,219,-139,358,151,-81,151,-88,718,87,30,29,239,110,239,129
pabulinus,52.86666,54.2,31,95,21,12242,255,-184,439,182,-51,182,-130,553,67,28,26,177,92,177,115
pabulinus,132.56666,44.33333,43,99,22,12228,249,-195,444,184,-127,186,-127,666,121,10,66,320,44,306,44
pabulinus,133.21666,43.18333,51,82,20,10853,239,-159,398,182,-99,182,-99,736,136,16,62,345,57,345,57
pabulinus,132.1592,43.6834,49,92,21,11666,248,-179,427,187,-113,187,-113,673,123,9,69,333,39,333,39
pabulinus,131.617,43.067,57,85,20,11096,248,-160,408,192,-95,192,-95,699,142,8,74,363,35,363,35
pabulinus,133.7,42.9,60,80,20,10370,243,-139,382,187,-64,187,-82,775,136,20,57,352,72,352,73
pabulinus,131.69194,44.26528,44,113,24,12320,257,-197,454,190,-126,190,-126,613,120,8,72,309,34,309,34
pabulinus,132.88333,42.8,61,77,20,10452,243,-141,384,189,-83,189,-83,720,137,16,61,338,57,338,57
pabulinus,135.46531,45.80011,15,102,23,12179,221,-221,442,157,-153,158,-153,781,145,13,67,379,48,371,48
pabulinus,134.198,43.689,-9,88,21,11212,186,-223,409,126,-162,126,-162,975,176,22,64,462,75,462,75
pabulinus,134.4,46.2,25,108,21,13833,253,-240,493,189,-167,189,-167,676,133,10,70,336,40,336,40
