species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
tripustulatus,11.445637,49.750947,77,85,32,6512,222,-40,262,160,33,160,-6,710,80,43,20,232,142,232,159
tripustulatus,12.369752,51.330698,89,81,31,6635,233,-27,260,174,13,174,4,519,61,30,24,179,96,179,99
tripustulatus,13.762358,51.061848,88,77,29,6831,232,-32,264,175,9,175,0,601,79,33,28,215,106,215,113
tripustulatus,8.774131,50.103706,100,88,33,6402,247,-18,265,182,28,182,17,648,71,40,16,199,131,199,140
tripustulatus,9.249401,48.744653,89,86,32,6395,231,-31,262,169,18,169,5,726,95,41,29,255,126,255,133
tripustulatus,8.345818,47.529744,88,80,31,6313,229,-28,257,167,18,167,6,1067,126,66,23,362,209,362,215
tripustulatus,9.452351,45.69106,121,90,30,7083,277,-17,294,126,44,210,28,1065,112,57,22,317,184,295,185
tripustulatus,7.903896,45.322407,118,90,30,7221,274,-24,298,156,23,209,23,843,106,38,27,282,133,219,133
tripustulatus,5.349261,43.281808,141,92,35,5887,284,23,261,148,219,219,68,595,84,13,37,216,74,74,167
tripustulatus,3.755127,43.455036,142,100,37,5707,286,19,267,150,216,216,69,714,100,23,32,235,108,108,197
tripustulatus,1.478278,43.656105,128,99,38,5758,270,10,260,151,200,202,53,698,74,43,13,205,155,161,172
tripustulatus,4.68365,45.68202,110,94,34,6308,262,-11,273,158,29,191,29,788,83,49,19,233,152,217,152
tripustulatus,4.053136,48.349871,103,94,37,5770,242,-9,251,176,66,176,27,653,67,42,13,180,136,180,167
tripustulatus,-1.61327,49.650058,110,59,35,3951,198,34,164,74,159,162,62,918,114,46,30,328,152,180,290
tripustulatus,-2.037251,48.597305,113,69,37,4259,211,28,183,69,103,167,59,730,84,42,21,234,142,173,214
tripustulatus,7.469842,46.991387,85,84,32,6274,227,-31,258,165,43,165,4,945,115,60,20,305,195,305,209
tripustulatus,8.192685,45.67347,90,84,30,6614,237,-37,274,122,6,175,6,1055,120,56,23,329,177,305,177
tripustulatus,5.880581,45.607022,108,100,34,6555,264,-25,289,113,20,190,20,897,89,60,10,247,206,218,206
tripustulatus,12.686584,41.708883,138,99,37,5849,287,23,264,110,214,215,68,811,116,24,37,306,105,141,239
tripustulatus,13.370167,42.520279,76,68,27,6215,212,-31,243,89,4,156,0,848,103,50,24,283,158,195,169
tripustulatus,11.129107,46.092417,111,100,31,7401,277,-36,313,202,31,202,12,859,95,40,26,265,135,265,136
tripustulatus,13.645368,46.308144,61,88,32,6538,206,-69,275,144,-13,144,-24,1304,136,67,21,397,223,397,232
tripustulatus,15.197335,46.813151,78,99,31,7542,243,-71,314,173,-6,173,-22,981,127,41,36,369,141,369,141
tripustulatus,16.85712,48.120335,98,96,31,7381,261,-42,303,191,14,191,1,639,79,35,28,230,111,230,117
tripustulatus,14.404308,45.351789,125,74,29,6373,266,12,254,92,208,208,46,1356,156,83,22,452,277,277,344
tripustulatus,23.812825,42.892787,99,98,31,7651,261,-51,312,176,9,194,-3,637,81,39,26,222,124,190,130
tripustulatus,28.675836,41.050263,139,77,30,6385,278,26,252,83,221,221,59,691,112,22,45,286,85,85,220
tripustulatus,33.269677,37.128366,112,128,38,7452,295,-40,335,14,202,206,14,419,60,5,55,167,19,31,167
tripustulatus,21.22061,41.039159,75,103,34,6599,237,-58,295,40,156,159,-10,785,95,43,24,253,136,138,217
tripustulatus,27.826083,44.089939,113,84,27,7714,268,-33,301,191,20,210,12,483,58,31,19,154,95,144,104
tripustulatus,20.515906,44.009222,96,94,31,7118,249,-47,296,167,15,183,0,798,94,49,22,269,155,241,168
tripustulatus,18.771033,47.05396,110,90,29,7753,270,-36,306,190,23,205,5,551,67,32,23,176,102,170,116
tripustulatus,19.077942,47.480808,111,87,28,7764,272,-32,304,192,25,207,8,551,67,31,23,178,100,171,114
tripustulatus,26.055761,55.077575,58,78,25,8248,217,-93,310,161,-43,161,-50,657,81,32,28,231,109,231,122
tripustulatus,23.127043,55.355872,62,76,25,7947,217,-78,295,161,3,161,-42,670,83,29,28,229,107,229,125
tripustulatus,22.47985,55.163433,66,77,26,7853,219,-74,293,164,8,164,-37,708,85,31,28,234,110,234,137
tripustulatus,28.492023,56.277602,49,79,24,8904,220,-109,329,161,-59,161,-67,637,85,29,31,232,99,232,112
tripustulatus,28.574416,59.407183,48,72,22,8885,221,-103,324,146,-59,163,-66,680,85,29,33,239,101,231,120
tripustulatus,22.992622,60.271504,50,75,24,7946,214,-91,305,141,-16,155,-49,623,75,32,30,209,100,191,134
tripustulatus,24.129065,61.459641,37,84,25,8543,214,-120,334,133,-32,149,-72,589,78,28,32,213,90,202,111
tripustulatus,27.665535,62.879317,30,71,21,9173,209,-128,337,134,-40,151,-87,625,82,33,28,218,102,211,125
tripustulatus,24.088755,63.961032,21,85,24,8831,204,-142,346,122,-49,138,-90,535,73,27,31,193,85,181,103
tripustulatus,23.10595,63.852594,26,86,24,8729,208,-137,345,126,-43,141,-84,534,71,27,30,190,85,172,105
tripustulatus,25.485881,64.866223,22,82,23,9125,206,-142,348,127,-50,144,-92,455,66,21,37,175,67,170,80
tripustulatus,18.038541,59.320187,70,64,23,7255,222,-48,270,156,10,168,-18,526,66,25,30,182,84,173,113
tripustulatus,6.989473,43.626628,138,88,37,5176,261,25,236,113,204,205,74,866,125,18,40,335,101,126,257
tripustulatus,21.347725,42.723837,83,97,32,7052,241,-55,296,119,166,169,-11,715,79,49,15,201,156,169,174
tripustulatus,-6.082154,52.99181,95,66,39,3732,189,23,166,59,129,144,52,944,112,56,22,303,179,188,283
tripustulatus,-9.069039,53.117045,96,67,40,3659,185,19,166,78,108,143,51,1106,128,63,22,355,206,242,316
tripustulatus,-6.094069,54.467023,87,68,39,3966,184,10,174,67,101,139,40,1011,99,66,16,295,205,247,265
tripustulatus,-4.767889,54.069017,85,64,37,3927,179,7,172,67,99,137,38,964,107,59,23,314,177,209,263
tripustulatus,-6.941312,52.837928,94,76,42,3786,195,16,179,74,106,144,49,879,94,54,18,263,177,192,249
tripustulatus,-9.324335,38.69638,159,75,41,3662,257,78,179,120,202,207,112,769,120,4,64,347,32,34,326
tripustulatus,4.799025,53.051123,89,50,25,5311,196,1,195,107,96,157,29,770,88,40,26,258,133,231,182
tripustulatus,6.703922,53.59187,87,60,28,5509,200,-12,212,155,39,156,18,804,84,45,20,241,143,228,185
tripustulatus,21.05891,52.293745,79,83,27,7901,238,-62,300,178,-17,178,-25,490,70,22,39,192,68,192,76
tripustulatus,20.345242,50.035633,84,92,28,7900,243,-75,318,179,-10,179,-26,673,98,28,44,280,93,280,98
tripustulatus,17.164078,51.039124,85,90,31,7024,235,-51,286,172,3,172,-9,551,82,25,42,224,78,224,84
tripustulatus,23.272601,54.118017,64,81,26,7934,221,-80,301,162,-33,162,-41,589,80,23,34,222,87,222,98
tripustulatus,17.359593,49.234211,81,90,30,7163,235,-56,291,170,-1,170,-15,657,93,31,40,262,96,262,103
tripustulatus,14.424216,50.105637,87,89,31,6996,241,-40,281,176,-3,176,-3,499,72,20,46,208,66,208,66
tripustulatus,14.545807,50.702526,79,80,29,6910,224,-46,270,166,-1,166,-12,555,73,27,34,208,89,208,93
tripustulatus,25.938821,44.5631,107,107,31,8478,284,-57,341,195,9,211,-7,598,84,35,30,218,109,202,116
tripustulatus,24.611945,45.564375,27,83,31,6479,159,-105,264,91,-52,106,-59,935,137,51,40,376,156,366,162
tripustulatus,26.832372,46.480359,79,98,29,8259,245,-82,327,165,-33,180,-33,572,85,26,46,241,79,230,79
tripustulatus,4.406545,50.809733,100,82,34,5650,226,-9,235,67,62,169,26,818,76,55,10,224,180,211,201
tripustulatus,3.229283,51.21976,101,60,30,5086,206,8,198,76,61,164,36,730,78,45,18,222,141,201,174
tripustulatus,2.469345,50.094136,98,76,35,5207,218,1,217,107,61,164,31,674,73,43,13,198,139,167,164
tripustulatus,3.939323,50.497653,102,81,35,5552,227,-4,231,69,64,170,29,781,74,52,9,215,171,205,194
tripustulatus,4.843114,50.522106,94,81,34,5635,220,-12,232,165,56,165,21,858,79,58,9,229,187,229,211
tripustulatus,65.498683,57.139689,8,88,19,12753,236,-216,452,165,-140,165,-162,474,88,15,52,209,55,209,65
tripustulatus,83.111069,54.888344,10,108,22,13069,254,-218,472,173,-140,173,-162,453,68,18,44,188,60,188,67
tripustulatus,69.471896,56.120272,7,97,20,13316,244,-226,470,171,-149,171,-168,395,70,12,56,184,42,184,48
tripustulatus,61.464466,55.205379,23,97,21,12434,251,-196,447,176,-123,176,-141,450,89,14,55,204,49,204,59
tripustulatus,48.891064,57.132665,30,77,19,11311,235,-168,403,172,-102,172,-118,598,81,26,34,215,89,215,105
tripustulatus,56.236944,52.638056,26,111,23,12899,266,-204,470,183,-131,183,-144,451,52,24,22,146,81,146,95
tripustulatus,44.410257,48.688592,80,93,22,11574,300,-113,413,-40,-4,226,-67,393,42,23,20,117,77,112,105
tripustulatus,14,53.107,88,77,28,7017,232,-38,270,176,5,176,-5,547,64,30,23,183,101,183,112
tripustulatus,11.8383,48.7589,82,87,31,6955,233,-47,280,169,5,169,-10,731,93,40,31,269,130,269,136
tripustulatus,-8.752,41.399,145,80,44,3560,239,61,178,100,188,190,100,1228,170,15,52,491,82,102,491
tripustulatus,20.2519,60.2092,46,69,24,7319,197,-82,279,97,-14,145,-41,550,68,28,33,190,86,158,119
tripustulatus,25.7094,62.1445,34,75,22,8820,213,-120,333,133,-34,151,-78,653,86,33,29,228,106,221,132
tripustulatus,9.39,47.899,79,84,31,6529,224,-40,264,162,7,162,-5,1014,124,59,28,361,177,361,192
tripustulatus,24.7222,60.1534,52,66,22,8036,210,-88,298,145,-16,158,-47,642,78,31,31,221,100,198,131
tripustulatus,23.8652,60.073,51,71,23,7968,213,-90,303,144,-16,157,-47,613,75,29,32,213,94,193,122
tripustulatus,81.03147,44.98475,27,122,27,11533,246,-204,450,146,-133,164,-133,374,56,14,42,154,49,138,49
tripustulatus,-1.24105,51.71877,98,75,36,4666,213,6,207,74,62,159,40,643,64,40,13,183,133,160,162
tripustulatus,23.4,41.41,142,104,33,7505,311,-2,313,58,232,236,44,479,60,25,24,153,84,99,132
tripustulatus,68.68333,58.71666,-4,92,19,13040,231,-240,471,159,-154,159,-177,498,75,16,46,209,57,209,68
tripustulatus,36,50.61,66,83,23,9923,249,-107,356,189,-2,189,-63,577,72,32,23,191,104,191,125
tripustulatus,37.561,55.826,49,76,21,9784,231,-123,354,172,-16,172,-79,678,89,33,30,243,110,243,130
tripustulatus,52.1248,52.9921,46,97,21,12480,272,-172,444,-26,53,199,-118,523,61,29,26,159,89,157,122
tripustulatus,20.61126,55.00872,74,66,24,7317,213,-55,268,87,14,167,-20,757,87,35,30,253,110,224,159
tripustulatus,14.48611,40.62972,141,71,31,5573,270,45,225,117,213,215,75,738,112,23,43,290,82,117,242
tripustulatus,42.75,59.96666,21,84,21,10248,223,-171,394,152,-99,152,-114,628,83,27,31,223,96,223,115
tripustulatus,75.38333,42.51666,7,112,26,10711,214,-209,423,74,-141,134,-141,328,55,10,52,145,35,116,35
tripustulatus,48.5,38.6,90,110,31,7444,289,-56,345,69,184,184,-5,388,49,16,29,124,59,59,99
tripustulatus,76.90013,43.14681,45,110,26,10606,249,-163,412,113,-98,175,-98,388,64,13,46,165,44,123,44
tripustulatus,46.22,41.75,141,97,29,8375,318,-15,333,184,32,247,32,624,89,29,32,228,99,190,99
tripustulatus,72.23333,42.51666,77,122,29,10079,291,-120,411,85,187,202,-58,355,57,8,48,150,39,61,70
tripustulatus,31.8,60.2167,38,78,22,9220,219,-127,346,141,-33,157,-81,639,80,28,33,227,96,211,118
tripustulatus,36.45,45.33333,111,75,24,8257,271,-34,305,218,9,218,8,430,50,26,21,126,90,126,113
tripustulatus,40.34917,44.86222,114,96,29,8226,286,-38,324,200,15,219,8,709,87,34,22,226,128,215,144
tripustulatus,52.65,58.13333,22,84,19,11451,238,-183,421,166,-50,166,-129,600,78,27,31,211,90,211,107
tripustulatus,54.12,54.12,28,101,22,12330,255,-192,447,179,-55,179,-135,554,63,28,24,176,94,176,118
tripustulatus,78.15,44.81666,70,116,26,11476,288,-150,438,148,195,210,-85,356,45,17,28,119,64,75,71
tripustulatus,70,41.56666,65,118,30,9453,275,-118,393,68,171,185,-60,692,105,9,54,296,42,59,200
tripustulatus,46.22167,38.92111,106,110,31,8626,292,-61,353,96,211,213,-8,405,69,17,47,171,54,77,72
tripustulatus,29.67,53.05,63,84,24,9047,236,-103,339,174,-47,174,-56,613,85,27,35,239,95,239,106
tripustulatus,41.47583,44.11722,94,101,32,7584,258,-53,311,169,2,190,-4,821,112,36,32,294,126,286,131
tripustulatus,79.03333,45.11666,41,119,26,11436,260,-181,441,118,-114,180,-114,397,50,20,28,140,70,106,70
tripustulatus,34.407,44.681,106,87,29,7456,266,-30,296,34,162,203,14,587,75,37,22,192,122,143,188
tripustulatus,33.08333,52.78333,58,82,23,9462,236,-110,346,176,-58,176,-64,595,82,28,31,220,97,220,111
tripustulatus,43.6,43.48333,91,104,31,8399,265,-70,335,178,-9,197,-19,749,104,36,33,278,117,264,121
tripustulatus,40.2,43.68333,86,92,33,6498,232,-42,274,148,7,168,3,1133,118,68,13,319,234,311,265
tripustulatus,30.71666,46.46666,103,65,21,8332,260,-39,299,189,166,209,-3,458,49,26,16,134,99,131,121
tripustulatus,33.93333,44.4,108,86,29,7169,263,-25,288,39,94,201,19,590,76,37,22,196,120,142,192
tripustulatus,85.5,47.1,-51,107,26,10747,151,-251,402,83,-191,83,-191,382,77,7,71,196,27,196,27
tripustulatus,84.63,47.73,52,117,23,14417,300,-207,507,204,-118,224,-143,259,33,11,33,88,36,73,40
tripustulatus,56.25,38.41666,153,124,31,9692,359,-29,388,89,266,277,28,230,36,3,60,101,12,13,84
tripustulatus,50.18333,53.33333,45,85,20,12252,259,-164,423,196,-39,196,-115,529,60,30,21,165,99,165,121
tripustulatus,44.08,41.59,54,115,35,7307,220,-103,323,90,-42,145,-42,745,113,29,42,300,101,254,101
tripustulatus,52.86666,54.2,31,95,21,12242,255,-184,439,182,-51,182,-130,553,67,28,26,177,92,177,115
tripustulatus,34.4,53.25,53,82,23,9744,238,-116,354,175,-67,175,-71,571,78,26,33,214,88,214,97
tripustulatus,35.555,55.70889,43,81,22,9694,227,-127,354,165,-74,165,-82,639,88,27,35,243,93,243,109
tripustulatus,51.18333,53.33333,47,90,20,12346,266,-166,432,198,54,198,-114,520,59,29,23,160,92,160,120
tripustulatus,76.9,47.57,41,104,22,13121,276,-193,469,183,-118,201,-134,240,30,12,27,84,40,72,44
tripustulatus,54.9953,51.1569,51,109,23,13113,294,-177,471,212,-40,212,-120,325,36,18,20,95,59,95,73
tripustulatus,39.08333,44.1,130,78,29,6646,270,9,261,50,195,217,50,1216,139,74,23,404,235,258,364
tripustulatus,56.53333,54.5,33,108,23,12452,262,-194,456,184,-50,184,-132,523,62,24,26,174,86,174,108
tripustulatus,39.35,54.38333,46,86,22,10581,242,-139,381,177,-82,177,-91,571,84,27,32,206,89,206,105
tripustulatus,32.78333,58.65,34,89,24,9328,219,-139,358,151,-81,151,-88,718,87,30,29,239,110,239,129
tripustulatus,48.8,52.01666,54,95,21,12414,280,-158,438,207,-32,207,-107,453,51,25,22,139,83,139,107
tripustulatus,51.56666,51.36666,55,109,23,12798,294,-171,465,211,-34,211,-113,339,39,19,24,105,58,105,75
tripustulatus,40.46666,52.88333,55,89,22,10813,254,-134,388,189,-20,189,-85,545,79,27,30,186,88,186,110
tripustulatus,30.51666,50.43333,81,81,24,9026,251,-79,330,192,-28,192,-38,625,84,36,27,222,121,222,134
tripustulatus,7.78333,46.16666,4,62,28,5557,121,-98,219,75,17,75,-63,1745,166,130,7,470,409,470,427
tripustulatus,27.65,48.9,77,88,26,8623,242,-85,327,169,-27,182,-38,644,102,30,45,270,98,264,109
tripustulatus,20.45,44.76666,122,94,31,7593,284,-18,302,199,178,216,20,668,84,38,23,222,132,198,161
tripustulatus,45.75,38.95,135,115,30,9251,334,-45,379,129,246,249,11,291,50,9,49,125,30,45,60
tripustulatus,29.10306,47.30806,95,86,26,8683,261,-63,324,187,46,202,-19,538,74,27,32,199,101,194,111
tripustulatus,33.85,46.45,99,100,28,8906,290,-61,351,193,34,213,-14,402,45,24,19,129,80,122,98
tripustulatus,47.65,42.03333,60,88,28,7566,220,-88,308,135,-38,155,-38,549,86,15,50,229,52,200,52
tripustulatus,46.329,40.512,110,98,30,7833,283,-42,325,148,8,208,8,502,84,16,49,216,59,157,59
tripustulatus,44.2,40.7,37,117,33,8026,218,-134,352,70,-69,135,-69,570,99,22,49,247,72,136,72
tripustulatus,29.9,58.65,45,75,22,9050,221,-111,332,144,-65,161,-71,647,83,28,32,232,100,228,114
tripustulatus,32.22,59.93,36,80,22,9275,218,-132,350,139,-35,155,-84,659,81,29,33,233,99,218,123
tripustulatus,32.25,49.85,81,87,25,9328,259,-84,343,196,-32,196,-40,577,76,34,26,203,113,203,130
tripustulatus,44.46666,42.9,38,108,34,7428,203,-113,316,113,-59,131,-59,1023,140,35,44,401,118,393,118
tripustulatus,23.5,48.533,63,85,28,7448,213,-82,295,140,-26,154,-37,824,113,46,33,306,144,304,159
tripustulatus,39.95,53.21666,54,89,22,10741,252,-135,387,186,-22,186,-85,547,81,26,31,194,87,194,106
tripustulatus,26.589,48.681,81,90,27,8463,243,-80,323,171,-21,184,-32,636,101,30,45,271,94,263,101
tripustulatus,71.082,54.766,13,100,21,13317,252,-218,470,177,-145,177,-161,367,65,12,52,166,43,166,50
tripustulatus,40.1,57.482,41,80,21,10365,234,-144,378,171,-81,171,-95,606,86,26,33,217,90,217,109
tripustulatus,35.32,45.18,118,78,25,8153,283,-24,307,39,50,224,17,440,47,27,14,124,98,119,103
tripustulatus,26.9,38.23333,163,98,36,6136,313,43,270,88,244,244,88,696,149,2,86,393,10,10,393
tripustulatus,26.98389,49.40278,73,87,26,8507,237,-86,323,164,-31,177,-40,671,104,32,44,276,107,276,118
tripustulatus,28.19889,58.75917,46,73,22,8888,218,-106,324,144,-62,160,-68,652,82,28,33,233,96,225,112
