species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
punctatus,22.844937,61.248515,38,82,25,8276,210,-115,325,131,-29,146,-67,621,79,30,30,216,97,206,126
punctatus,22.363668,60.425373,51,75,24,7973,217,-90,307,143,37,157,-48,668,78,35,27,212,111,193,159
punctatus,17.169671,60.060203,52,75,25,7612,209,-84,293,140,-10,152,-43,585,76,29,30,209,94,197,120
punctatus,21.737129,61.21307,43,78,25,7957,210,-101,311,136,-21,149,-55,622,77,34,28,209,104,187,137
punctatus,86.01666,51.4,19,114,25,12272,250,-199,449,171,-121,171,-142,459,78,11,61,214,35,214,41
punctatus,94.762625,51.437219,-30,136,22,16969,251,-344,595,167,-236,167,-266,405,85,8,68,205,31,205,34
punctatus,124.43833,53.22167,-32,147,24,16561,256,-344,600,169,-208,169,-253,454,115,4,98,284,15,284,15
punctatus,107.26666,50.43333,-19,123,22,14935,239,-298,537,164,-185,164,-224,347,93,3,107,237,11,237,13
punctatus,83.75,53.33333,23,115,24,12877,265,-207,472,184,-124,184,-146,426,58,19,33,149,68,149,77
punctatus,102.54333,53.06972,-8,130,25,13679,244,-267,511,160,-161,160,-194,385,92,8,82,220,25,220,30
punctatus,42.75,59.96666,21,84,21,10248,223,-171,394,152,-99,152,-114,628,83,27,31,223,96,223,115
punctatus,30.1,59.55,45,71,21,8982,219,-107,326,145,-24,161,-70,655,82,30,31,233,103,225,119
punctatus,29.41666,59.93333,47,71,21,8893,221,-103,324,147,-21,163,-66,672,83,31,30,233,105,220,127
punctatus,130.23638,61.60601,-102,117,16,21492,251,-450,701,159,-330,159,-387,271,45,7,60,129,25,129,31
punctatus,87.686,51.575,16,117,24,12808,253,-217,470,174,-131,174,-154,524,95,11,71,260,34,260,38
punctatus,92.495,58.23,-12,108,21,13835,248,-257,505,163,-166,163,-196,466,66,16,38,176,60,176,76
punctatus,104.21639,51.78778,-4,122,25,13132,237,-250,487,158,-150,158,-181,626,144,11,78,345,45,345,47
punctatus,106.766,48.433,-8,132,24,14671,241,-289,530,168,-171,168,-212,261,71,2,112,185,7,185,7
punctatus,30.06222,58.72361,45,75,22,9065,221,-111,332,144,-65,161,-71,640,82,28,32,230,99,227,112
punctatus,105.83333,56.8,-43,132,23,15637,241,-330,571,151,-218,151,-254,385,67,11,55,177,40,177,56
punctatus,103.91317,56.39397,-35,135,24,14718,242,-310,552,149,-200,149,-233,414,66,14,49,178,45,178,60
punctatus,108.62167,58.02306,-45,129,22,15946,242,-332,574,154,-143,154,-257,386,64,11,52,171,41,171,57
punctatus,121.41666,60.65,-67,114,18,18085,249,-367,616,158,-167,158,-305,319,52,10,54,144,31,144,46
punctatus,118.89583,59.93778,-63,126,20,17866,252,-368,620,159,-163,159,-299,306,53,7,62,150,26,150,37
punctatus,129.7331,62.0339,-101,117,16,21514,254,-447,701,161,-328,161,-385,243,39,6,56,113,23,113,29
punctatus,118.8,52.7,-37,152,25,16517,249,-357,606,161,-217,161,-263,376,96,4,101,248,14,248,14
punctatus,91.38333,53.08333,-1,128,24,14033,253,-270,523,171,-164,171,-191,426,77,10,64,208,33,208,39
punctatus,109.50611,54.35528,-31,122,22,14391,229,-304,533,130,-203,147,-226,354,75,6,70,181,25,178,44
punctatus,29.0315,65.9041,-6,84,23,9566,187,-176,363,122,-80,122,-126,603,75,32,29,214,100,214,112
punctatus,25.6187,65.1284,17,82,23,9282,201,-152,353,123,-56,140,-101,470,67,22,36,178,70,173,83
punctatus,83.52,50.36,21,116,27,11169,241,-178,419,147,-104,162,-121,616,83,16,47,233,58,225,61
punctatus,32.756,67.884,-15,73,21,8954,168,-172,340,93,-84,105,-127,571,71,28,31,203,88,197,107
